Job Title,Company Name,URL,Job Base Salary,Job Experience Requirements,Job Location,Job Responsibilities,Job Skills,Job Summary,Time in Role
Reporting and Data Analyst,Stone Depot  Ghana Limited,https://www.jobberman.com.gh/listings/reporting-and-data-analyst-q2xdwv,Confidential,Construction,Accra & Tema Region,"Extract, compile, and analyze data from internal systems, including CRM, ERP, and inventory management tools.",Software & Data,"Stone Depot Limited is a natural stone and fabrication company known for delivering high-quality materials to clients with a commitment to excellence and precision, we utilize data-driven insights to streamline operations and enhance decision-making. We are looking for a talented Reporting and Data Analyst to manage and analyze data, create detailed reports, and present actionable insights that drive our business forward. If you are passionate about transforming raw data into meaningful information and are skilled in Google Looker Studio or equivalent software, we love to hear from you.",Full Time
Software Engineer Trainee,Zedulo Ghana Ltd.,https://www.jobberman.com.gh/listings/software-engineer-trainee-wp9m6g,"GHS  1,500 - 1,800",IT & Telecoms,Accra & Tema Region,,Software & Data,"Are you well versed in Software development, preferably with a University degree in Computer Science? Have you completed your National Service? We are looking for you!",Full Time
Marketing Communication Specialist,Jobberman Third Party,https://www.jobberman.com.gh/listings/marketing-communication-specialist-np825k,Confidential,Recruitment,Accra & Tema Region,"Work across the organizations’ focal points to identify media moments, success stories, develop and implement relevant materials and media outreach.",Marketing & Communications,"The Communications Specialist will play a vital role in the transformative Harnessing Agricultural Productivity and Prosperity for Youth (HAPPY) program. The primary objective is to enhance the well-being, resilience, and active engagement of youth - especially women, in Ghana’s formal agribusiness and related sectors",Full Time
Sales Executive,Geldex Invest,https://www.jobberman.com.gh/listings/head-of-sales-9jxnwj,Confidential,"Banking, Finance & Insurance",Accra & Tema Region,,Sales,"Geldex is a leading Online Forex Trading Brokerage firm that provides online trading services to clients in Ghana, and worldwide. We're seeking an experienced Sales Executive to join our Team, and contribute to the growth and success of our company.",Full Time
Chief Executive Officer,G-Maestro Limited,https://www.jobberman.com.gh/listings/chief-executive-officer-evz5ev,"GHS  10,800 - 12,000",Education,Accra & Tema Region,,Management & Business Development,"A distinguished College focusing on Standardized Test (IELTS, SAT, TOEFL, GRE, GMAT, OET, NCLEX), Study Abroad Consultancy, Cambridge IGCSE & A-Level, WASSCE, English Proficiency and Digital Technology is seeking an experienced and visionary Chief Executive Officer (CEO) to lead our institution. The CEO will play a pivotal role in establishing and",Full Time
Travel and Tour Marketer,Travelclazz,https://www.jobberman.com.gh/listings/travel-and-tour-marketer-npkrgv,Confidential,Tourism & Travel,Accra & Tema Region,"Identify potential customers through various channels such as social media, networking events, referrals, and partnerships.",Marketing & Communications,"As a Travel and Tour Marketer, you will promote and sell travel packages, tours, Flights tickets, and related services to potential clients. Your role will involve generating leads, building relationships, and closing sales while earning commission-based compensation in USD. You will represent the company, ensuring a positive experience for clients by delivering excellent customer service and tailored travel solutions.",Full Time
Sales Attendant,CAKE MATTERS,https://www.jobberman.com.gh/listings/sales-attendant-202e8e,"GHS  900 - 1,200","Retail, Fashion & FMCG",Accra & Tema Region,,Sales,"As a Sales Attendant, you will be responsible for finding and winning new customers, as well as looking after existing customer accounts.",Full Time
Business Manager,Personnel Practice Limited,https://www.jobberman.com.gh/listings/business-manager-5d2epg,Confidential,Construction,Accra & Tema Region,,Management & Business Development,"A diversified business with interests in property, financial services and technology is looking for a competent, driven and experienced individual for the role of Business Manager.",Full Time
Financial Analyst,DTRT Apparel,https://www.jobberman.com.gh/listings/financial-analyst-wp94e5,Confidential,Manufacturing & Warehousing,Accra & Tema Region,,"Accounting, Auditing & Finance",A reputable company is seeking the services of a Financial Analyst. The Financial Analyst would work with the Finance team and report directly to Manager Financial Planning & Analysis.,Full Time
Web Developer,Sneda,https://www.jobberman.com.gh/listings/web-developer-9j2780,Confidential,"Retail, Fashion & FMCG",Accra & Tema Region,,Software & Data,"Based in Accra, we’re a fast-growing team passionate about building intuitive, high-performance digital experiences. We’re looking for a talented Web Developer to join us and help craft the next generation of websites and applications.",Full Time
